ID,prompt,scenario_1_name,scenario_1_in,scenario_1_out,scenario_2_name,scenario_2_in,scenario_2_out,scenario_3_name,scenario_3_in,scenario_3_out
1,What are the recent advancements in malicious domain detection?,Consensus,30,728,Keenious,10,240,Scopusai,17,1257
2,How does federated learning preserve data privacy?,Consensus,14,709,Keenious,27,144,Scopusai,28,1664
3,Summarize energy consumption trends in large language models.,Consensus,11,561,Keenious,12,211,Scopusai,17,1834
4,What methods exist for carbon footprint estimation in AI?,Consensus,29,554,Keenious,27,201,Scopusai,30,1916
5,Explain transformer architecture and its variants.,Consensus,23,951,Keenious,24,242,Scopusai,10,1126
6,How do graph neural networks handle heterogeneous data?,Consensus,23,1196,Keenious,18,179,Scopusai,16,1489
7,What is the state of quantum computing in 2024?,Consensus,13,689,Keenious,22,149,Scopusai,21,1504
8,Describe retrieval-augmented generation (RAG) techniques.,Consensus,29,1041,Keenious,11,335,Scopusai,27,1055
9,How can AI accelerate drug discovery pipelines?,Consensus,22,661,Keenious,27,250,Scopusai,30,1540
10,What are the main benchmarks for evaluating LLM reasoning?,Consensus,28,893,Keenious,12,123,Scopusai,17,1392
11,What are the recent advancements in malicious domain detection?,Consensus,12,976,Keenious,13,294,Scopusai,18,1728
12,How does federated learning preserve data privacy?,Consensus,30,1247,Keenious,15,289,Scopusai,21,1229
13,Summarize energy consumption trends in large language models.,Consensus,18,646,Keenious,29,187,Scopusai,27,1301
14,What methods exist for carbon footprint estimation in AI?,Consensus,15,1446,Keenious,22,238,Scopusai,30,1940
15,Explain transformer architecture and its variants.,Consensus,17,1164,Keenious,11,217,Scopusai,11,1446
16,How do graph neural networks handle heterogeneous data?,Consensus,22,1048,Keenious,12,208,Scopusai,28,1444
17,What is the state of quantum computing in 2024?,Consensus,16,1522,Keenious,22,334,Scopusai,14,1342
18,Describe retrieval-augmented generation (RAG) techniques.,Consensus,14,1005,Keenious,27,375,Scopusai,18,1997
19,How can AI accelerate drug discovery pipelines?,Consensus,23,1695,Keenious,22,285,Scopusai,17,1083
20,What are the main benchmarks for evaluating LLM reasoning?,Consensus,26,1510,Keenious,12,124,Scopusai,13,1113
21,What are the recent advancements in malicious domain detection?,Consensus,30,827,Keenious,23,132,Scopusai,22,1581
22,How does federated learning preserve data privacy?,Consensus,29,1458,Keenious,26,228,Scopusai,27,823
23,Summarize energy consumption trends in large language models.,Consensus,13,1599,Keenious,18,274,Scopusai,13,1401
24,What methods exist for carbon footprint estimation in AI?,Consensus,23,823,Keenious,24,101,Scopusai,18,1825
25,Explain transformer architecture and its variants.,Consensus,15,1539,Keenious,13,252,Scopusai,30,1839
26,How do graph neural networks handle heterogeneous data?,Consensus,29,907,Keenious,14,291,Scopusai,15,1904
27,What is the state of quantum computing in 2024?,Consensus,26,501,Keenious,29,265,Scopusai,25,839
28,Describe retrieval-augmented generation (RAG) techniques.,Consensus,13,1243,Keenious,19,222,Scopusai,11,1293
29,How can AI accelerate drug discovery pipelines?,Consensus,28,661,Keenious,12,348,Scopusai,12,1890
30,What are the main benchmarks for evaluating LLM reasoning?,Consensus,14,762,Keenious,25,381,Scopusai,15,1342
31,What are the recent advancements in malicious domain detection?,Consensus,26,1742,Keenious,23,208,Scopusai,27,1211
32,How does federated learning preserve data privacy?,Consensus,19,1317,Keenious,30,291,Scopusai,24,1859
33,Summarize energy consumption trends in large language models.,Consensus,24,747,Keenious,17,215,Scopusai,12,1492
34,What methods exist for carbon footprint estimation in AI?,Consensus,10,1704,Keenious,27,217,Scopusai,28,1251
35,Explain transformer architecture and its variants.,Consensus,10,645,Keenious,30,130,Scopusai,17,938
36,How do graph neural networks handle heterogeneous data?,Consensus,11,1176,Keenious,12,363,Scopusai,17,1370
37,What is the state of quantum computing in 2024?,Consensus,25,938,Keenious,27,167,Scopusai,28,1980
38,Describe retrieval-augmented generation (RAG) techniques.,Consensus,25,997,Keenious,25,308,Scopusai,16,993
39,How can AI accelerate drug discovery pipelines?,Consensus,13,1382,Keenious,21,316,Scopusai,23,1756
40,What are the main benchmarks for evaluating LLM reasoning?,Consensus,11,701,Keenious,11,306,Scopusai,20,1023
41,What are the recent advancements in malicious domain detection?,Consensus,17,892,Keenious,16,374,Scopusai,24,1087
42,How does federated learning preserve data privacy?,Consensus,23,875,Keenious,18,336,Scopusai,17,954
43,Summarize energy consumption trends in large language models.,Consensus,24,1627,Keenious,13,125,Scopusai,30,1907
44,What methods exist for carbon footprint estimation in AI?,Consensus,10,691,Keenious,17,185,Scopusai,23,1794
45,Explain transformer architecture and its variants.,Consensus,25,937,Keenious,22,130,Scopusai,15,1576
46,How do graph neural networks handle heterogeneous data?,Consensus,10,1299,Keenious,18,332,Scopusai,19,1666
47,What is the state of quantum computing in 2024?,Consensus,27,1496,Keenious,14,197,Scopusai,19,1245
48,Describe retrieval-augmented generation (RAG) techniques.,Consensus,11,1686,Keenious,27,131,Scopusai,20,917
49,How can AI accelerate drug discovery pipelines?,Consensus,11,1696,Keenious,25,357,Scopusai,26,1122
50,What are the main benchmarks for evaluating LLM reasoning?,Consensus,11,1540,Keenious,12,195,Scopusai,12,939
51,What are the recent advancements in malicious domain detection?,Consensus,17,1326,Keenious,13,391,Scopusai,17,1985
52,How does federated learning preserve data privacy?,Consensus,29,581,Keenious,29,141,Scopusai,23,1995
53,Summarize energy consumption trends in large language models.,Consensus,28,1570,Keenious,20,233,Scopusai,16,1443
54,What methods exist for carbon footprint estimation in AI?,Consensus,17,1043,Keenious,22,167,Scopusai,30,1414
55,Explain transformer architecture and its variants.,Consensus,24,1147,Keenious,12,104,Scopusai,24,1953
56,How do graph neural networks handle heterogeneous data?,Consensus,13,650,Keenious,27,209,Scopusai,26,1343
57,What is the state of quantum computing in 2024?,Consensus,14,1214,Keenious,12,225,Scopusai,21,1383
58,Describe retrieval-augmented generation (RAG) techniques.,Consensus,15,1397,Keenious,27,254,Scopusai,29,1883
59,How can AI accelerate drug discovery pipelines?,Consensus,10,1635,Keenious,19,153,Scopusai,14,1341
60,What are the main benchmarks for evaluating LLM reasoning?,Consensus,13,719,Keenious,27,179,Scopusai,18,1377
61,What are the recent advancements in malicious domain detection?,Consensus,29,931,Keenious,20,204,Scopusai,30,1340
62,How does federated learning preserve data privacy?,Consensus,26,1500,Keenious,18,126,Scopusai,12,1667
63,Summarize energy consumption trends in large language models.,Consensus,18,590,Keenious,10,270,Scopusai,14,1336
64,What methods exist for carbon footprint estimation in AI?,Consensus,15,1404,Keenious,27,318,Scopusai,27,819
65,Explain transformer architecture and its variants.,Consensus,13,654,Keenious,14,379,Scopusai,11,1556
66,How do graph neural networks handle heterogeneous data?,Consensus,28,1631,Keenious,14,320,Scopusai,14,885
67,What is the state of quantum computing in 2024?,Consensus,19,1246,Keenious,11,283,Scopusai,16,1311
68,Describe retrieval-augmented generation (RAG) techniques.,Consensus,13,1224,Keenious,27,308,Scopusai,29,1116
69,How can AI accelerate drug discovery pipelines?,Consensus,17,832,Keenious,15,311,Scopusai,10,1167
70,What are the main benchmarks for evaluating LLM reasoning?,Consensus,20,1343,Keenious,17,236,Scopusai,15,1021
71,What are the recent advancements in malicious domain detection?,Consensus,22,579,Keenious,25,213,Scopusai,16,1742
72,How does federated learning preserve data privacy?,Consensus,21,1125,Keenious,17,214,Scopusai,10,1195
73,Summarize energy consumption trends in large language models.,Consensus,22,1172,Keenious,18,135,Scopusai,18,1519
74,What methods exist for carbon footprint estimation in AI?,Consensus,30,1543,Keenious,22,374,Scopusai,20,856
75,Explain transformer architecture and its variants.,Consensus,13,1034,Keenious,15,397,Scopusai,18,878
76,How do graph neural networks handle heterogeneous data?,Consensus,13,1721,Keenious,23,276,Scopusai,20,1693
77,What is the state of quantum computing in 2024?,Consensus,29,1547,Keenious,13,297,Scopusai,28,1189
78,Describe retrieval-augmented generation (RAG) techniques.,Consensus,18,590,Keenious,23,100,Scopusai,26,1902
79,How can AI accelerate drug discovery pipelines?,Consensus,16,1245,Keenious,23,135,Scopusai,20,1442
80,What are the main benchmarks for evaluating LLM reasoning?,Consensus,13,1115,Keenious,26,258,Scopusai,23,1468
81,What are the recent advancements in malicious domain detection?,Consensus,22,1105,Keenious,27,165,Scopusai,16,1661
82,How does federated learning preserve data privacy?,Consensus,22,856,Keenious,29,391,Scopusai,19,1631
83,Summarize energy consumption trends in large language models.,Consensus,27,500,Keenious,19,246,Scopusai,16,1680
84,What methods exist for carbon footprint estimation in AI?,Consensus,28,1742,Keenious,30,264,Scopusai,24,1704
85,Explain transformer architecture and its variants.,Consensus,24,937,Keenious,26,342,Scopusai,15,973
86,How do graph neural networks handle heterogeneous data?,Consensus,19,1555,Keenious,30,271,Scopusai,12,1281
87,What is the state of quantum computing in 2024?,Consensus,19,960,Keenious,16,175,Scopusai,10,894
88,Describe retrieval-augmented generation (RAG) techniques.,Consensus,17,1473,Keenious,29,137,Scopusai,24,1648
89,How can AI accelerate drug discovery pipelines?,Consensus,30,1678,Keenious,16,296,Scopusai,25,1618
90,What are the main benchmarks for evaluating LLM reasoning?,Consensus,17,802,Keenious,30,102,Scopusai,13,1670
91,What are the recent advancements in malicious domain detection?,Consensus,17,860,Keenious,26,337,Scopusai,11,1941
92,How does federated learning preserve data privacy?,Consensus,17,748,Keenious,24,168,Scopusai,24,1887
93,Summarize energy consumption trends in large language models.,Consensus,27,1719,Keenious,20,326,Scopusai,29,1833
94,What methods exist for carbon footprint estimation in AI?,Consensus,23,1622,Keenious,24,181,Scopusai,25,1721
95,Explain transformer architecture and its variants.,Consensus,18,1006,Keenious,30,241,Scopusai,26,1792
96,How do graph neural networks handle heterogeneous data?,Consensus,30,989,Keenious,18,325,Scopusai,12,1385
97,What is the state of quantum computing in 2024?,Consensus,17,1056,Keenious,20,263,Scopusai,27,965
98,Describe retrieval-augmented generation (RAG) techniques.,Consensus,14,808,Keenious,17,296,Scopusai,14,1238
99,How can AI accelerate drug discovery pipelines?,Consensus,12,1349,Keenious,23,269,Scopusai,27,1754
100,What are the main benchmarks for evaluating LLM reasoning?,Consensus,23,627,Keenious,16,315,Scopusai,22,1996
